,price,stop,duration_minutes
0,25612,0,120
1,25612,0,135
2,42220,1,1485
3,44450,1,1590
4,46690,1,400
5,50264,0,130
6,50669,1,1065
7,51059,1,1365
8,51731,1,1075
9,53288,0,135
10,56081,1,660
11,56081,1,915
12,57074,1,685
13,57074,1,950
14,57074,1,1295
15,57074,1,1560
16,57868,1,345
17,57868,1,970
18,57868,1,1690
19,59996,1,1160
20,61273,1,1430
21,61273,1,1630
22,63737,1,360
23,63737,1,1170
24,63737,1,1610
25,74640,1,745
26,74640,1,880
27,74640,1,1465
28,74640,1,1560
29,74640,1,1600
30,74640,1,1695
31,76768,1,935
32,76768,1,1070
33,78376,1,1095
34,25736,0,130
35,25612,0,120
36,25612,0,125
37,25612,0,130
38,25612,0,130
39,25612,0,135
40,25612,0,135
41,25612,1,210
42,25612,1,225
43,36496,1,1050
44,37286,1,1485
45,37682,1,1535
46,37617,1,380
47,40296,0,135
48,40296,0,140
49,40296,0,140
50,40582,1,480
51,40582,1,1235
52,42252,1,605
53,43964,1,265
54,44328,0,125
55,44060,1,1435
56,44450,1,400
57,44450,1,850
58,44450,1,945
59,44450,1,1590
60,45896,0,130
61,46265,1,290
62,47396,1,420
63,47396,1,1075
64,47396,1,1250
65,47396,1,1425
66,47396,1,1585
67,48281,1,1600
68,49256,0,140
69,50822,1,1535
70,50992,1,795
71,50992,1,1285
72,51059,1,385
73,51059,1,1365
74,51496,0,135
75,51641,1,300
76,53582,1,1805
77,56345,1,320
78,56345,1,495
79,56345,1,755
80,56345,1,930
81,56081,1,1410
82,56081,1,1665
83,57074,1,505
84,57074,1,685
85,57074,1,730
86,57074,1,950
87,57074,1,1225
88,57074,1,1490
89,57801,1,545
90,57801,1,925
91,57868,1,345
92,57868,1,360
93,57868,1,455
94,57868,1,670
95,57868,1,730
96,57868,1,745
97,57868,1,765
98,57868,1,825
99,57868,1,880
100,57868,1,970
101,57868,1,1080
102,58524,1,475
103,59996,1,935
104,59996,1,1070
105,59976,1,375
106,59976,1,535
107,61273,1,475
108,61273,1,795
109,61273,1,1295
110,61273,1,1430
111,61273,1,1495
112,61273,1,1630
113,61273,1,1780
114,61721,1,945
115,61721,1,1095
116,61721,1,1600
117,62057,1,1265
118,67657,1,1655
119,77737,1,1705
120,79977,1,1170
121,95657,1,1610
122,25736,0,130
123,25612,0,120
124,25612,0,125
125,25612,0,130
126,25612,0,130
127,25612,0,135
128,25612,1,210
129,25612,1,225
130,30104,0,130
131,30092,0,135
132,32456,0,125
133,32456,0,140
134,33197,1,1535
135,33136,1,1475
136,33926,1,1485
137,34982,1,1235
138,34982,1,1570
139,36652,1,990
140,38056,0,135
141,39580,1,1435
142,40296,0,135
143,40296,0,140
144,40582,1,480
145,42770,1,1590
146,43521,1,1585
147,44664,0,140
148,44450,1,400
149,44450,1,850
150,44450,1,945
151,45145,1,320
152,45145,1,495
153,45145,1,755
154,45145,1,930
155,45222,1,1555
156,45459,1,1365
157,45896,0,130
158,46265,1,290
159,47396,1,420
160,47396,1,1075
161,47396,1,1250
162,47396,1,1425
163,49737,1,1600
164,49872,1,1285
165,51059,1,385
166,51496,0,130
167,51342,1,1805
168,53881,1,300
169,54284,1,915
170,54284,1,1145
171,54284,1,1370
172,54284,1,1585
173,54284,1,1665
174,54898,1,1225
175,54898,1,1490
176,55416,1,945
177,55416,1,1095
178,55416,1,1600
179,56081,1,455
180,56081,1,680
181,56081,1,680
182,56081,1,895
183,56081,1,1430
184,57074,1,435
185,57074,1,660
186,58865,1,1205
187,59996,1,1390
188,59996,1,1450
189,59976,1,375
190,59976,1,535
191,61273,1,475
192,61273,1,660
193,61273,1,795
194,61721,1,925
195,66044,1,765
196,66044,1,825
197,70793,1,1170
198,70793,1,1610
199,70793,1,1800
200,76768,1,745
201,76768,1,880
202,76768,1,970
203,82816,1,345
204,82816,1,935
205,82816,1,1070
206,82816,1,1465
207,82816,1,1600
208,85527,1,1080
209,86137,1,390
210,86137,1,830
211,86776,1,545
212,91575,1,455
213,22152,0,120
214,22152,0,130
215,22152,0,135
216,22152,0,135
217,22152,1,225
218,29622,1,1610
219,29776,1,1475
220,31462,1,1485
221,32646,1,480
222,32646,1,1235
223,34472,0,135
224,35532,1,530
225,36577,1,1100
226,36577,1,1310
227,36712,0,140
228,36712,0,140
229,37048,0,130
230,37417,1,1600
231,37256,1,275
232,37900,1,1435
233,39622,1,655
234,39622,1,1555
235,39859,1,755
236,39859,1,1365
237,40447,1,1505
238,41281,1,320
239,41281,1,495
240,41281,1,755
241,41281,1,1250
242,41281,1,1425
243,41113,1,400
244,41113,1,850
245,41113,1,945
246,41113,1,1590
247,42956,1,265
248,42956,1,475
249,44081,1,300
250,44328,0,125
251,44328,0,140
252,44025,1,290
253,44622,1,1805
254,45156,1,980
255,45156,1,1155
256,45156,1,1415
257,45336,0,130
258,47217,1,795
259,47217,1,1285
260,49896,1,375
261,49896,1,535
262,50264,0,130
263,50969,1,435
264,50969,1,660
265,50969,1,685
266,50969,1,950
267,50969,1,1295
268,50969,1,1560
269,51384,1,545
270,51384,1,785
271,51384,1,935
272,51384,1,945
273,51384,1,1095
274,51384,1,1115
275,51384,1,1170
276,51384,1,1265
277,51496,0,130
278,51697,1,1205
279,53164,1,745
280,53164,1,765
281,53164,1,825
282,53164,1,880
283,53164,1,935
284,53164,1,1070
285,53288,0,135
286,53164,1,455
287,53164,1,680
288,53164,1,680
289,53164,1,895
290,53164,1,915
291,53164,1,1145
292,53164,1,1370
293,53164,1,1585
294,55696,1,930
295,58876,1,865
296,58876,1,1000
297,59033,1,455
298,59033,1,1295
299,59033,1,1430
300,59033,1,1495
301,59033,1,1630
302,59571,1,420
303,60601,1,345
304,60601,1,970
305,60713,1,360
306,64924,1,670
307,64924,1,730
308,71056,1,455
309,71056,1,1080
310,76953,1,330
311,76953,1,770
312,76953,1,960
313,80470,1,925
314,82816,1,360
315,85801,1,390
316,85801,1,830
317,85801,1,1020
318,22152,0,130
319,22152,0,120
320,22152,0,125
321,22152,0,130
322,22152,0,135
323,22152,1,210
324,22152,1,225
325,28872,0,125
326,29837,1,1535
327,29776,1,885
328,29776,1,1050
329,29777,1,380
330,31462,1,1485
331,32646,1,480
332,32646,1,1235
333,34472,0,120
334,34472,0,130
335,34472,0,130
336,34472,0,130
337,35532,1,1065
338,36577,1,265
339,36577,1,475
340,36577,1,1100
341,36577,1,1310
342,36712,0,135
343,36712,0,140
344,37048,0,130
345,36995,0,135
346,37417,1,1600
347,37256,1,275
348,39622,1,1555
349,39859,1,385
350,39859,1,1365
351,41281,1,420
352,41281,1,805
353,41281,1,980
354,41281,1,1075
355,41281,1,1155
356,41281,1,1250
357,41281,1,1415
358,41281,1,1425
359,41281,1,1585
360,41281,1,1590
361,41113,1,400
362,41113,1,850
363,41113,1,945
364,41113,1,1590
365,42424,0,135
366,44081,1,300
367,44328,0,140
368,44025,1,290
369,44664,0,135
370,45156,1,320
371,45156,1,495
372,45156,1,755
373,45156,1,930
374,46568,0,140
375,47441,1,1655
376,49896,1,375
377,49896,1,515
378,50969,1,505
379,50969,1,685
380,50969,1,730
381,50969,1,950
382,51384,1,440
383,51384,1,545
384,51384,1,785
385,53164,1,330
386,53164,1,345
387,53164,1,360
388,53164,1,390
389,53164,1,440
390,53164,1,455
391,53164,1,550
